Time,Y
6.492,1.926045
6.50199487304687,1.896107
6.512,1.892365
6.522,1.859882
6.533,1.826053
6.543,1.833687
6.553,1.87081
6.563,1.902244
6.573,1.872456
6.583,1.864523
6.593,1.943558
6.603,1.970053
6.613,1.966311
6.623,1.957629
6.633,1.950743
6.643,1.876198
6.653,1.770518
6.663,1.710493
6.673,1.673221
6.683,1.682501
6.693,1.704356
6.703,1.711092
6.713,1.72172
6.723,1.745221
6.733,1.787433
6.743,1.892365
6.753,1.969754
6.763,1.955384
6.773,1.921404
6.783,1.885779
6.793,1.915117
6.803,1.973496
6.813,1.946402
6.824,1.868714
6.834,1.711391
6.844,1.602717
6.854,1.348396
6.864,1.154399
6.874,1.083597
6.884,1.074316
6.894,1.110541
6.904,1.148412
6.914,1.195414
6.924,1.227897
6.934,1.272953
6.944,1.309627
6.954,1.249302
6.964,1.187032
6.974,1.207838
6.984,1.242716
6.994,1.30334
7.004,1.351839
7.014,1.373544
7.024,1.438509
7.034,1.430126
7.044,1.392105
7.054,1.364712
7.064,1.404978
7.074,1.426683
7.084,1.430874
7.094,1.420845
7.104,1.419648
7.115,1.51021
7.12500512695313,1.649719
7.135,1.769021
7.145,1.831142
7.155,1.896406
7.165,1.883833
7.175,1.732647
7.185,1.528322
7.195,1.362766
7.205,1.210682
7.215,1.141826
7.225,1.318907
7.235,1.512455
7.245,1.455274
7.255,1.36576
7.265,1.330433
7.275,1.182541
7.285,1.074765
7.295,1.119372
7.305,1.166225
7.315,1.277294
7.325,1.475781
7.335,1.598676
7.345,1.647624
7.355,1.813928
7.365,1.91377
7.375,1.990261
7.385,2.00523
7.395,2.073189
7.405,1.999392
7.416,1.87066
7.426,1.986369
7.436,2.169439
7.44600512695312,2.321672
7.456,2.394421
7.466,2.368674
7.476,2.33709
7.486,2.315834
7.49599487304688,2.364333
7.506,2.420317
7.516,2.394421
7.526,2.382745
7.536,2.482288
7.546,2.743645
7.556,3.047213
7.566,3.407065
7.576,3.654351
7.586,3.71707
7.596,3.691773
7.606,3.666925
7.616,3.767815
7.626,3.92873
7.636,4.01076
7.646,3.925736
7.656,3.761079
7.666,3.634592
7.676,3.513943
7.686,3.401976
7.696,3.15918
7.707,2.954406
7.717,2.746788
7.727,2.430945
7.737,2.073788
7.747,1.714684
7.757,1.383273
7.76700512695312,1.061443
7.777,0.867147
7.787,0.791853
7.797,0.722997
7.807,0.797242
7.81699487304688,0.891097
7.827,0.822689
7.837,0.645009
7.847,0.441881
7.857,0.293689
7.867,0.142354
7.877,0.001347
7.887,-0.108075
7.897,-0.198787
7.907,-0.17798
7.917,-0.036524
7.927,0.121547
7.937,0.34144
7.947,0.563578
7.957,0.78392
7.967,0.893492
7.977,0.89918
7.987,0.917292
7.998,1.011746
8.008,1.135539
8.018,1.324895
8.028,1.518592
8.038,1.659
8.048,1.838177
8.058,1.955983
8.068,2.104773
8.078,2.33724
8.088,2.502795
8.098,2.605332
8.108,2.70263
8.118,2.852917
8.128,2.99093
8.13799487304687,3.132087
8.148,3.249742
8.158,3.285518
8.168,3.340154
8.178,3.294499
8.188,3.133584
8.198,2.921774
8.208,2.858755
8.218,2.805316
8.228,2.888693
8.238,3.286416
8.248,3.469785
8.258,3.19316
8.268,3.512146
8.278,3.468886
8.289,3.533253
8.299,3.342549
8.309,3.189268
8.319,3.228786
8.329,3.360961
8.339,3.25079
8.349,3.033442
8.359,2.862497
8.369,2.718197
8.379,2.623744
8.389,2.589166
8.399,2.511028
8.409,2.502346
8.419,2.633923
8.429,2.739603
8.439,2.660268
8.449,2.455793
8.459,2.182162
8.469,1.96676
8.479,1.831142
8.489,1.790427
8.499,1.773512
8.509,1.665437
8.519,1.403182
8.529,1.103954
8.539,0.857567
8.549,0.691412
8.559,0.629291
8.569,0.589474
8.58,0.490081
8.59,0.411045
8.6,0.393681
8.61,0.401315
8.62,0.334704
8.63,0.268542
8.64,0.237107
8.65,0.186961
8.66,0.09595
8.67,-0.005988
8.68,-0.053738
8.69,-0.129331
8.7,-0.093555
8.71,0.130229
8.72,0.313598
8.73,0.432002
8.74,0.557291
8.75,0.669857
8.76,0.8658
8.77,0.791255
8.78,0.576302
8.79,0.843795
8.8,1.314716
8.81,1.597478
8.82,1.739982
8.83,1.987866
8.84,2.212848
8.85,2.257156
8.86,2.572999
8.871,3.112627
8.881,3.661236
8.891,4.07303
8.901,4.261788
8.911,4.309389
8.921,4.12108
8.931,3.841013
8.941,3.512895
